id,category,index,text
211,211,1,　
212,212,1,　
187,187,1,報酬獲得量UP
187,187,2,挑戦回数UP
187,187,4,リリース記念ミッション 第1弾
187,187,5,リリース記念ミッション 第2弾
187,187,15,挑戦回数UP
187,187,24,挑戦回数UP
187,187,45,春のGⅠ記念ミッション 第2弾\n安田記念
187,187,47,春のGⅠ記念ミッション 第2弾\n宝塚記念
187,187,50,リリース記念ミッション 第2弾
187,187,61,ゴルシちゃんモード
188,188,1,育成中に獲得できる対象アイテムの量が2倍になります
188,188,2,毎日補充されるチケットの枚数が3枚増えます
188,188,15,毎日補充されるチケットの枚数が3枚増えます
188,188,24,毎日補充されるチケットの枚数が3枚増えます
188,188,61,このモードで育成すると、育成したウマ娘の\n目標達成に応じてマニーを追加で獲得できます
4,4,100101,[Special Dreamer]Special Week
4,4,100201,[Silent Innocence]Silence Suzuka
4,4,100301,[Top of Joyful]Tokai Teio
4,4,100302,[Beyond the Horizon]Tokai Teio
4,4,100401,[Rouge Formula]Maruzensky
4,4,100601,[Starlight Beat]Oguri Cap
4,4,100701,[Red Strife]Gold Ship
4,4,100801,[Wild Top Gear]Vodka
4,4,100901,[Top of Blue]Daiwa Scarlet
4,4,101001,[Wild Frontier]Taiki Shuttle
4,4,101101,[Rock-piercing Blue]Grass Wander
4,4,101102,[Saint Jade Healer]Grass Wander
4,4,101201,[Amazoness Lapis]Hishi Amazon
4,4,101301,[Elegance Line]Mejiro Mcqueen
4,4,101302,[End of Sky]Mejiro Mcqueen
4,4,101401,[El☆Número 1]El Condor Pasa
4,4,101402,[Kukulkhan Monk]El Condor Pasa
4,4,101501,[O Sole O!]TM Opera O
4,4,101601,[Maverick]Narita Brian
4,4,101701,[Road of Emperor]Symboli Rudolf
4,4,101801,[Empress Road]Air Groove
4,4,101802,[Quercus Civilis]Air Groove
4,4,102001,[Blue Cloud Thumbing]Seiun Sky
4,4,102301,[pf.Victory formula...]Biwa Hayahide
4,4,102401,[Scramble☆Zone]Mayano Top Gun
4,4,102402,[Sunlight Bouquet]Mayano Top Gun
4,4,102601,[MB-19890425]Mihono Bourbon
4,4,102701,[Straight Line]Mejiro Ryan
4,4,103001,[Rose Dream]Rice Shower
4,4,103201,[tach-nology]Agnes Tachyon
4,4,103501,[Go To Winning!]Winning Ticket
4,4,103801,[Fille Éclair]Curren Chan
4,4,104101,[Sakura、Forward!]Sakura Bakushin O
4,4,104501,[Murmuring Stream]Super Creek
4,4,104601,[Absolute☆LOVE]Smart Falcon
4,4,105001,[Nevertheless]Narita Taishin
4,4,105201,[Uraran First Prize♪]Haru Urara
4,4,105601,[Rising Luck☆Flood of Happiness]Matikanefukukitaru
4,4,106001,[Poinsettia Ribbon]Nice Nature
4,4,106101,[King of Emeralds]King Halo
5,5,100101,[Special Dreamer]
5,5,100201,[Silent Innocence]
5,5,100301,[Top of Joyful]
5,5,100302,[Beyond the Horizon]
5,5,100401,[Rouge Formula]
5,5,100601,[Starlight Beat]
5,5,100701,[Red Strife]
5,5,100801,[Wild Top Gear]
5,5,100901,[Top of Blue]
5,5,101001,[Wild Frontier]
5,5,101101,[Rock-piercing Blue]
5,5,101102,[Saint Jade Healer]
5,5,101201,[Amazoness Lapis]
5,5,101301,[Elegance Line]
5,5,101302,[End of Sky]
5,5,101401,[El☆Número 1]
5,5,101402,[Kukulkhan Monk]
5,5,101501,[O Sole O!]
5,5,101601,[Maverick]
5,5,101701,[Road of Emperor]
5,5,101801,[Empress Road]
5,5,101802,[Quercus Civilis]
5,5,102001,[Blue Cloud Thumbing]
5,5,102301,[pf.Victory formula...]
5,5,102401,[Scramble☆Zone]
5,5,102402,[Sunlight Bouquet]
5,5,102601,[MB-19890425]
5,5,102701,[Straight Line]
5,5,103001,[Rose Dream]
5,5,103201,[tach-nology]
5,5,103501,[Go To Winning!]
5,5,103801,[Fille Éclair]
5,5,104101,[Sakura、Forward!]
5,5,104501,[Murmuring Stream]
5,5,104601,[Absolute☆LOVE]
5,5,105001,[Nevertheless]
5,5,105201,[Uraran First Prize♪]
5,5,105601,[Rising Luck☆Flood of Happiness]
5,5,106001,[Poinsettia Ribbon]
5,5,106101,[King of Emeralds]
6,6,1001,Special Week
6,6,1002,Silence Suzuka
6,6,1003,Tokai Teio
6,6,1004,Maruzensky
6,6,1005,Fuji Kiseki
6,6,1006,Oguri Cap
6,6,1007,Gold Ship
6,6,1008,Vodka
6,6,1009,Daiwa Scarlet
6,6,1010,Taiki Shuttle
6,6,1011,Grass Wander
6,6,1012,Hishi Amazon
6,6,1013,Mejiro Mcqueen
6,6,1014,El Condor Pasa
6,6,1015,TM Opera O
6,6,1016,Narita Brian
6,6,1017,Symboli Rudolf
6,6,1018,Air Groove
6,6,1019,Agnes Digital
6,6,1020,Seiun Sky
6,6,1021,Tamamo Cross
6,6,1022,Fine Motion
6,6,1023,Biwa Hayahide
6,6,1024,Mayano Top Gun
6,6,1025,Mahattan Cafe
6,6,1026,Mihono Bourbon
6,6,1027,Mejiro Ryan
6,6,1028,Hishi Akebono
6,6,1029,Yukino Bijin
6,6,1030,Rice Shower
6,6,1031,Ines Fujin
6,6,1032,Agnes Tachyon
6,6,1033,Admire Vega
6,6,1034,Inari One
6,6,1035,Winning Ticket
6,6,1036,Air Shakur
6,6,1037,Eishin Flash
6,6,1038,Curren Chan
6,6,1039,Kawakami Princess
6,6,1040,Gold City
6,6,1041,Sakura Bakushin O
6,6,1042,Seeking The Pearl
6,6,1043,Shinko Windy
6,6,1044,Sweep Tosho
6,6,1045,Super Creek
6,6,1046,Smart Falcon
6,6,1047,Zenno Rob Roy
6,6,1048,Tosen Jordan
6,6,1049,Nakayama Festa
6,6,1050,Narita Taishin
6,6,1051,Nishino Flower
6,6,1052,Haru Urara
6,6,1053,Bamboo Memory
6,6,1054,Biko Pegasus
6,6,1055,Marvelous Sunday
6,6,1056,Matikanefukukitaru
6,6,1057,Mr C.B
6,6,1058,Meisho Doto
6,6,1059,Mejiro Dober
6,6,1060,Nice Nature
6,6,1061,King Halo
6,6,1062,Matikane Tannhauser
6,6,1063,Ikuno Dictus
6,6,1064,Mejiro Palmer
6,6,1065,Daitaku Helios
6,6,1066,Twin Turbo
6,6,1067,Satono Diamond
6,6,1068,Kitasan Black
6,6,1069,Sakura Chiyono
6,6,1072,Yaeno Muteki
6,6,2001,Happy Meek
6,6,9001,駿川たづな
6,6,9002,秋川理事長
6,6,9003,乙名史記者
6,6,9004,桐生院トレーナー
6,6,9005,安心沢刺々美
7,7,1001,和氣あず未
7,7,1002,高野麻里佳
7,7,1003,Machico
7,7,1004,Lynn
7,7,1005,松井恵理子
7,7,1006,高柳知葉
7,7,1007,上田瞳
7,7,1008,大橋彩香
7,7,1009,木村千咲
7,7,1010,大坪由佳
7,7,1011,前田玲奈
7,7,1012,巽悠衣子
7,7,1013,大西沙織
7,7,1014,髙橋ミナミ
7,7,1015,徳井青空
7,7,1016,衣川里佳
7,7,1017,田所あずさ
7,7,1018,青木瑠璃子
7,7,1019,鈴木みのり
7,7,1020,鬼頭明里
7,7,1021,大空直美
7,7,1022,橋本ちなみ
7,7,1023,近藤唯
7,7,1024,星谷美緒
7,7,1025,小倉唯
7,7,1026,長谷川育美
7,7,1027,土師亜文
7,7,1028,松嵜麗
7,7,1029,山本希望
7,7,1030,石見舞菜香
7,7,1031,嶺内ともみ
7,7,1032,上坂すみれ
7,7,1033,咲々木瞳
7,7,1034,井上遥乃
7,7,1035,渡部優衣
7,7,1036,津田美波
7,7,1037,藤野彩水
7,7,1038,篠原侑
7,7,1039,高橋花林
7,7,1040,香坂さき
7,7,1041,三澤紗千香
7,7,1042,福原綾香
7,7,1043,高田憂希
7,7,1044,杉浦しおり
7,7,1045,優木かな
7,7,1046,大和田仁美
7,7,1047,照井春佳
7,7,1048,鈴木絵理
7,7,1049,下地紫野
7,7,1050,渡部恵子
7,7,1051,河井晴菜
7,7,1052,首藤志奈
7,7,1053,藍原ことみ
7,7,1054,田中あいみ
7,7,1055,三宅麻理恵
7,7,1056,新田ひより
7,7,1057,天海由梨奈
7,7,1058,和多田美咲
7,7,1059,久保田ひかり
7,7,1060,前田佳織里
7,7,1061,佐伯伊織
7,7,1062,遠野ひかる
7,7,1063,田澤茉純
7,7,1064,のぐちゆり
7,7,1065,山根綺
7,7,1066,花井美春
7,7,1067,立花日菜
7,7,1068,矢野妃菜喜
7,7,1069,野口瑠璃子
7,7,1072,日原あゆみ
7,7,2001,吉咲みゆ
7,7,9001,藤井ゆきよ
7,7,9002,水橋かおり
7,7,9003,陶山恵実里
7,7,9004,岡咲美保
7,7,9005,井上喜久子
170,170,1001,Special Week
170,170,1002,Silence Suzuka
170,170,1003,Tokai Teio
170,170,1004,Maruzensky
170,170,1005,Fuji Kiseki
170,170,1006,Oguri Cap
170,170,1007,Gold Ship
170,170,1008,Vodka
170,170,1009,Daiwa Scarlet
170,170,1010,Taiki Shuttle
170,170,1011,Grass Wonder
170,170,1012,Hishi Amazon
170,170,1013,Mejiro McQueen
170,170,1014,El Condor Pasa
170,170,1015,T M Opera O
170,170,1016,Narita Brian
170,170,1017,Symboli Rudolf
170,170,1018,Air Groove
170,170,1019,Agnes Digital
170,170,1020,Seiun Sky
170,170,1021,Tamamo Cross
170,170,1022,Fine Motion
170,170,1023,Biwa Hayahide
170,170,1024,Mayano Top Gun
170,170,1025,Manhattan Cafe
170,170,1026,Mihono Bourbon
170,170,1027,Mejiro Ryan
170,170,1028,Hishi Akebono
170,170,1029,Yukino Bijin
170,170,1030,Rice Shower
170,170,1031,Ines Fujin
170,170,1032,Agnes Tachyon
170,170,1033,Admire Vega
170,170,1034,Inari One
170,170,1035,Winning Ticket
170,170,1036,Air Shakur
170,170,1037,Eishin Flash
170,170,1038,Curren Chan
170,170,1039,Kawakami Princess
170,170,1040,Gold City
170,170,1041,Sakura Bakushin O
170,170,1042,Seeking The Pearl
170,170,1043,Shinko Windy
170,170,1044,Sweep Tosho
170,170,1045,Super Creek
170,170,1046,Smart Falcon
170,170,1047,Zenno Rob Roy
170,170,1048,Tosen Jordan
170,170,1049,Nakayama Festa
170,170,1050,Narita Taishin
170,170,1051,Nishino Flower
170,170,1052,Haru Urara
170,170,1053,Bamboo Memory
170,170,1054,Biko Pegasus
170,170,1055,Marvelous Sunday
170,170,1056,Matikanefukukitaru
170,170,1057,Mr. C.B
170,170,1058,Meisho Doto
170,170,1059,Mejiro Dober
170,170,1060,Nice Nature
170,170,1061,King Halo
170,170,1062,Matikane Tannhauser
170,170,1063,Ikuno Dictus
170,170,1064,Mejiro Palmer
170,170,1065,Daitaku Helios
170,170,1066,Twin Turbo
170,170,1067,Satono Diamond
170,170,1068,Kitasan Black
170,170,1069,Sakura Chiyono
170,170,1072,Yaeno Muteki
170,170,2001,Happy Meek
170,170,9001,駿川たづな
170,170,9002,秋川やよい
170,170,9003,乙名史悦子
170,170,9004,桐生院葵
170,170,9005,安心沢刺々美
182,182,1001,Special Week
182,182,1002,Silence Suzuka
182,182,1003,Tokai Teio
182,182,1004,Maruzensky
182,182,1005,Fuji Kiseki
182,182,1006,Oguri Cap
182,182,1007,Gold Ship
182,182,1008,Vodka
182,182,1009,Daiwa Scarlet
182,182,1010,Taiki Shuttle
182,182,1011,Grass Wander
182,182,1012,Hishi Amazon
182,182,1013,Mejiro Mcqueen
182,182,1014,El Condor Pasa
182,182,1015,TM Opera O
182,182,1016,Narita Brian
182,182,1017,Symboli Rudolf
182,182,1018,Air Groove
182,182,1019,Agnes Digital
182,182,1020,Seiun Sky
182,182,1021,Tamamo Cross
182,182,1022,Fine Motion
182,182,1023,Biwa Hayahide
182,182,1024,Mayano Top Gun
182,182,1025,Mahattan Cafe
182,182,1026,Mihono Bourbon
182,182,1027,Mejiro Ryan
182,182,1028,Hishi Akebono
182,182,1029,Yukino Bijin
182,182,1030,Rice Shower
182,182,1031,Ines Fujin
182,182,1032,Agnes Tachyon
182,182,1033,Admire Vega
182,182,1034,Inari One
182,182,1035,Winning Ticket
182,182,1036,Air Shakur
182,182,1037,Eishin Flash
182,182,1038,Curren Chan
182,182,1039,Kawakami Princess
182,182,1040,Gold City
182,182,1041,Sakura Bakushin O
182,182,1042,Seeking The Pearl
182,182,1043,Shinko Windy
182,182,1044,Sweep Tosho
182,182,1045,Super Creek
182,182,1046,Smart Falcon
182,182,1047,Zenno Rob Roy
182,182,1048,Tosen Jordan
182,182,1049,Nakayama Festa
182,182,1050,Narita Taishin
182,182,1051,Nishino Flower
182,182,1052,Haru Urara
182,182,1053,Bamboo Memory
182,182,1054,Biko Pegasus
182,182,1055,Marvelous Sunday
182,182,1056,Matikanefukukitaru
182,182,1057,Mr. C.B
182,182,1058,Meisho Doto
182,182,1059,Mejiro Dober
182,182,1060,Nice Nature
182,182,1061,King Halo
182,182,1062,Matikane Tannhauser
182,182,1063,Ikuno Dictus
182,182,1064,Mejiro Palmer
182,182,1065,Daitaku Helios
182,182,1066,Twin Turbo
182,182,1067,Satono Diamond
182,182,1068,Kitasan Black
182,182,1069,Sakura Chiyono
182,182,1072,Yaeno Muteki
182,182,2001,Happy Meek
182,182,9001,Hayakawa Tazuna
182,182,9002,Akikawa Yayoi
182,182,9003,Otonashi Etsuko
182,182,9004,Kiryuin Aoi
182,182,9005,Anshinzawa Sasami
201,201,1000,<color=#ff9900>チャンピオンズミーティング <race_name></color> ラウンド1開催。
201,201,1001,要チェックの<color=#ff9900>チャンピオンズミーティング <race_name></color> ラウンド1。
201,201,1002,<color=#ff9900><race_name></color> ラウンド1、舞台は<race_course>レース場。
201,201,1003,優駿集う<race_course>のターフ、<color=#ff9900><race_name></color>。
201,201,1004,<color=#ff9900><race_name></color> ラウンド1、待ちに待ったこの時がやって来た。
201,201,1005,<color=#ff9900>チャンピオンズミーティング <race_name></color> ラウンド1。
201,201,1006,遂に始まる、<color=#ff9900>チャンピオンズミーティング <race_name></color> ラウンド1。
201,201,1007,激戦の<color=#ff9900>チャンピオンズミーティング <race_name></color> ラウンド1。
201,201,1008,熱を帯びる<color=#ff9900><race_name></color> ラウンド1開催。
201,201,1009,熾烈を極める<color=#ff9900>チャンピオンズミーティング <race_name></color> ラウンド1。
201,201,1010,まだまだ序盤の<color=#ff9900><race_name></color> ラウンド1。
201,201,1100,<color=#ff9900>チャンピオンズミーティング <race_name></color> ラウンド1開催。
201,201,1101,絶対に見逃せない<color=#ff9900><race_name></color>。
201,201,1102,混戦必至の<color=#ff9900><race_name></color>。
201,201,1103,白熱の<color=#ff9900>チャンピオンズミーティング <race_name></color> ラウンド1開催。
201,201,1104,決して止まらない、<color=#ff9900>チャンピオンズミーティング <race_name></color> ラウンド1。
201,201,1105,ウマ娘ど真ん中、<color=#ff9900><race_name></color> ラウンド1。
201,201,1106,まだまだ序盤の<color=#ff9900><race_name></color> ラウンド1。
201,201,1200,エース揃い踏み、結果は三女神のみぞ知る大注目の一戦。
201,201,1201,全国から集まった精鋭が大歓声の中で魅せる。
201,201,1202,実力は本物、誰が勝ってもおかしくない。
201,201,1203,未来へと羽ばたいていく、期待のウマ娘たち。
201,201,1204,出走するウマ娘は実力者揃い。
201,201,1205,役者が揃った、誰もが注目する一戦。
201,201,1206,各ウマ娘の実力は伯仲、レベルの高いレースを大いに期待できる。
201,201,1207,まれに見る好メンバーが揃う、ファン必見のレース。
201,201,1208,強者のみが揃った、注目の一戦。
201,201,1209,ファンの期待も高まる大一番。
201,201,1210,Aグループ進出を目指す三者が集う大事な一戦。
201,201,1300,実力拮抗、ゴールの瞬間まで目が離せない好レース。
201,201,1301,春の晴れやかな<race_course>レース場、注目のウマ娘が勢揃い。
201,201,1302,勝者か、敗者か！勝つのは1人だけだ！
201,201,1303,どのウマ娘もここで弾みをつけたい大事な場面。
201,201,1304,全員が勝利への強い決意を胸にライバルたちに挑む。
201,201,1305,誰が勝っても不思議ではない、激しいレースが始まる。
201,201,1306,注目のウマ娘たちが競い合いながら<race_distance>を走り抜ける。
201,201,1307,どこよりも長く、どこよりも短い<race_course>の<race_distance>。
201,201,1308,Aグループ進出を目指す三者が集う大事な一戦。
201,201,1400,勝者となるのは果たして…！
201,201,1401,1着でゴールするのはどのウマ娘か…！
